content,english,french
bill,,l’addition (au restaurant)
bucket,pail,un seau
engine,,un moteur
fence,,un obstacle (équitation)
flour,,la farine
gloves,,des gants
handle,knob,une poignée
pipe,,un tuyau
roof,,un toit
receipt,,un ticket de caisse
seaweed,,les algues
floor,stor(e)y,un étage
tablecloth,,une nappe
warehouse,,un entrepôt
hang,,accrocher/suspendre
lean,to bow,se pencher
lift,raise,soulever
stack,pile,empiler
withdraw,,retirer
bakery,,une boulangerie
fine,,une amende
mechanic,,un mécanicien
overdue,late,en retard/tardif
patterned,,avec des motifs
plain,,uni (ex : un tissus uni)
platform,,un quai
reliable,dependable,fiable
scale,,une balance
scheduled,planned,être prévu/planifié
borrow,,emprunter

