content,english,french
showers,,des averses
fog,,le brouillard
lull,,une accalmie
pour,,pleuvoir à verse
melt,,fondre
cloudy,,nuageux
thunder,,le tonnerre
drought,,la sécheresse
drizzle,,la bruine
flood,,une inondation
shelter,,un abris
weak,,faible
ruin,spoil,gâcher
foul,taint,polluer
stink,stench,la puanteur
forbid,ban,interdire
drill,,forer
leak,,fuir
chemicals,,les produits chimiques
waste,rubbish,les déchets
fertilizer,,l'engrais
tar,,le goudron
manure,,le purin/le fumier
shrinking,,le rétrécissement
lack,run short of,manquer de
shortage,lack of,une pénurie
lead,,plomb
rainbow,,arc-en-ciel
dawn,,aube/aurore
overcast,,couvert
mild,,doux
mudslide,,coulée de boue
dripping,,dégoulinant
shiver,,frissonner
warmth,,la chaleur
