content,english,french
actually,,en fait/affectivement
anyway,,de toute façons
supposing,,à supposer que
whereas,,tandis que
unlike,,à la différence de
otherwise,,autrement
although,,bien que
whatever,,quel que soit
unless,,à moins que
yet,,pourtant
however,,cependant
nevertheless,,néanmoins
since,,puisque
accordingly,,en conséquence
therefore,,c’est pourquoi
consequently,,par conséquence
hence,,d’où
eventually,,finalement
while,,pendant que
whenever,,chaque fois que
since,,depuis que
once,,une fois que
meanwhile,,pendant ce temps là
besides,,d’ailleurs
furthermore,,en outre
moreover,,de plus
similarly,,de même
