content,english,french
abroad,,à l’étranger
backpacker,,randonneur
castle,,un château
cruise,,une croisière
deckchair,,un transat
hitchhike,,faire du stop
journey,trip,le voyage
leisure,,les loisirs
luggage,,les bagages
mill,,un moulin
recliner,,une chaise longue
safe,,un coffre-fort
shore,,une côte
unpack,,défaire ses bagages
customs,,la douane
map,,une carte
cargo,,une cargaison
fare,,prix du billet (d’avion, de train, de bus)
fine,,une amende
overseas,,outre-Atlantique
schedule,timetable,horaire
shuttle,,une navette
board,,embarquer/monter dans l’avion
cockpit,,la cabine de pilotage
delay,,un retard
landing,,un atterrissage
layover,stopover,une escale
connection,,une correspondance
crew,,l’équipage
deck,,un pont
tank,,un réservoir
roundabout,,un rond-point
amenities,,les services
inn,,auberge/hôtel
towel,,une serviette
watchman,,un veilleur de nuit
